cabinet_uid,municipality_id,source_cabinet_key,cabinet_name,latitude,longitude,fixture_rows,lamp_count,rated_power_w,controller_type,controller_link_status,address,source_file
SY-CAB-5e5e2e417b,suyeong,수미조명탑 (3),수미조명탑 (3),35.16793179,129.1038223,3,6,3000.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-5a60f186e7,suyeong,수변공원그늘막-2 (12),수변공원그늘막-2 (12),35.15469199,129.13352375,24,72,5280.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-d5dc4a7bb3,suyeong,수영강-1 (26),수영강-1 (26),35.167544480000004,129.12432855,26,26,1840.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-385021d05c,suyeong,수영강-2 (16),수영강-2 (16),35.17194533,129.12163765000003,16,16,1280.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-3596b767ab,suyeong,수영강-3 (37),수영강-3 (37),35.18251677,129.1171625,42,42,2730.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-50177e52f5,suyeong,수영강변경관조명 (65),수영강변경관조명 (65),35.16163665,129.1306574,65,65,3900.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-a0094f6a60,suyeong,수영교 (22),수영교 (22),35.16583682,129.12617795,24,24,3130.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-76d9e09e78,suyeong,수영교경관조명 (2),수영교경관조명 (2),35.165880945,129.12568034999998,2,2,130.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-b47e8f9727,suyeong,수영로-1 (7),수영로-1 (7),35.14254674,129.1082015,7,7,945.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-d70c07505f,suyeong,수영로-10 (23),수영로-10 (23),35.16742962,129.1157054,23,23,3105.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
